Symbol,Name
20MICRONS,20 Microns Ltd
21STCENMGM,21st Century Management Services Ltd
3IINFOTECH,3i Infotech Ltd
3MINDIA,3M India Ltd
3PLAND,3P Land Holdings Ltd
3RDROCK,3rd Rock Multimedia Ltd
5PAISA,5Paisa Capital Ltd
63MOONS,63 Moons Technologies Ltd
AMJUMBO,A and M Jumbo Bags Ltd
AFFLE,Affle (India) Ltd,/stocks/affle-india-AFFL
AGARIND,Agarwal Industrial Corporation Ltd,/stocks/agarwal-industrial-corporation-AGWL
AGCNET,AGC Networks Ltd
AGRITECH,Agri-Tech (India) Ltd,/stocks/agri-tech-india-AGTL
AGROPHOS,Agro Phos India Ltd,/stocks/agro-phos-india-AGRP
ATFL,Agro Tech Foods Ltd,/stocks/agro-tech-foods-AGRO
AHIMSA,Ahimsa Industries Ltd,/stocks/ahimsa-industries-AHIN
AHLADA,Ahlada Engineers Ltd,/stocks/ahlada-engineers-AHLA
AHLUCONT,Ahluwalia Contracts (India) Ltd,/stocks/ahluwalia-contracts-india-AHLU
AIAENG,AIA Engineering Ltd,/stocks/aia-engineering-AIAE
AIRAN,Airan Ltd,/stocks/airan-AIRA
AIROLAM,Airo Lam Ltd
AJANTPHARM,Ajanta Pharma Ltd,/stocks/ajanta-pharma-AJPH
AJMERA,Ajmera Realty & Infra India Ltd,/stocks/ajmera-realty-and-infra-india-AJME
AJOONI,Ajooni Biotech Ltd,/stocks/ajooni-biotech-AJOO
AKASH,Akash Infra-Projects Ltd,/stocks/akash-infra-projects-AKAS
AKG,Akg Exim Ltd,/stocks/akg-exim-AKGE
AKSHOPTFBR,Aksh Optifibre Ltd,/stocks/aksh-optifibre-AKSO
AKSHARCHEM,AksharChem India Ltd
AKZOINDIA,Akzo Nobel India Ltd,/stocks/akzo-nobel-india-AKZO
ALANKIT,Alankit Ltd,/stocks/alankit-ALAK
ALBERTDAVD,Albert David Ltd,/stocks/albert-david-ALBD
ALCHEM,Alchemist Ltd
ALEMBICLTD,Alembic Ltd,/stocks/alembic-ALMC
APLLTD,Alembic Pharmaceuticals Ltd,/stocks/alembic-pharmaceuticals-ALEM
ALICON,Alicon Castalloy Ltd,/stocks/alicon-castalloy-ALIO
ALKALI,Alkali Metals Ltd,/stocks/alkali-metals-ALML
ALKEM,Alkem Laboratories Ltd,/stocks/alkem-laboratories-ALKE
ALKYLAMINE,Alkyl Amines Chemicals Ltd,/stocks/alkyl-amines-chemicals-ALKY
ALLCARGO,Allcargo Logistics Ltd,/stocks/allcargo-logistics-ACLL
ADSL,Allied Digital Services Ltd,/stocks/allied-digital-services-ADIS
ALLSEC,Allsec Technologies Ltd,/stocks/allsec-technologies-ALLS
ALMONDZ,Almondz Global Securities Ltd,/stocks/almondz-global-securities-ALSL
ALOKINDS,Alok Industries Ltd,/stocks/alok-industries-ALOK
ALPA,Alpa Laboratories Ltd,/stocks/alpa-laboratories-ALPA
ALPHAGEO,Alphageo (India) Ltd,/stocks/alphageo-india-ALPI
ALPSINDUS,Alps Industries Ltd,/stocks/alps-industries-ALPS
AMARAJABAT,Amara Raja Batteries Ltd,/stocks/amara-raja-batteries-AMAR
AMBANIORG,Ambani Organics Ltd,/stocks/ambani-organics-AMBN
AMBER,Amber Enterprises India Ltd,/stocks/amber-enterprises-india-AMBE
AMBIKCO,Ambika Cotton Mills Ltd,/stocks/ambika-cotton-mills-AMBK
AMBUJACEM,Ambuja Cements Ltd,/stocks/ambuja-cements-ABUJ
AMDIND,AMD Industries Ltd,/stocks/amd-industries-AMDM
ASIL,Amit Spinning Industries Ltd
AMJLAND,Amj Land Holdings Ltd,/stocks/amj-land-holdings-AMJL
AMRUTANJAN,Amrutanjan Health Care Ltd,/stocks/amrutanjan-health-care-AJAN
ANANTRAJ,Anant Raj Ltd,/stocks/anant-raj-ANRA
ANDHRACEMT,Andhra Cements Ltd,/stocks/andhra-cements-ANDC
ANDHRAPAP,Andhra Paper Ltd,/stocks/andhra-paper-ANDA
ANGELBRKG,Angel Broking Ltd
AISL,ANI Integrated Services Ltd,/stocks/ani-integrated-services-ANII
ANIKINDS,Anik Industries Ltd,/stocks/anik-industries-ANIK
APCL,Anjani Portland Cement Ltd,/stocks/anjani-portland-cement-ANCM
ANKITMETAL,Ankit Metal & Power Ltd,/stocks/ankit-metal-and-power-AMPL
ANSALHSG,Ansal Housing Ltd,/stocks/ansal-housing-ANSL
ANSALAPI,Ansal Properties & Infrastructure Ltd
APARINDS,Apar Industries Ltd,/stocks/apar-industries-APAR
APCOTEXIND,Apcotex Industries Ltd,/stocks/apcotex-industries-APCI
APEX,Apex Frozen Foods Ltd,/stocks/apex-frozen-foods-APEX
APLAPOLLO,APL Apollo Tubes Ltd,/stocks/apl-apollo-tubes-APLA
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,/stocks/apollo-hospitals-enterprise-APLH
APOLLO,Apollo Micro Systems Ltd,/stocks/apollo-micro-systems-APLL
APOLLOPIPE,Apollo Pipes Ltd,/stocks/apollo-pipes-AOLL
APOLSINHOT,Apollo Sindoori Hotels Ltd,/stocks/apollo-sindoori-hotels-APOS
APOLLOTYRE,Apollo Tyres Ltd
APTECHT,Aptech Ltd,/stocks/aptech-APTA
ARCHIDPLY,Archidply Industries Ltd,/stocks/archidply-industries-ARCY
ARCHIES,Archies Ltd,/stocks/archies-ARGG
ARCOTECH,Arcotech Ltd,/stocks/arcotech-ARCO
ARIES,Aries Agro Ltd,/stocks/aries-agro-ARAI
ARIHANT,Arihant Foundations & Housing Ltd,/stocks/arihant-foundations-and-housing-ARFL
ARIHANTSUP,Arihant Superstructures Ltd,/stocks/arihant-superstructures-ARIS
ARMANFIN,Arman Financial Services Ltd,/stocks/arman-financial-services-ARLF
AROGRANITE,Aro Granite Industries Ltd,/stocks/aro-granite-industries-AROG
ARROWGREEN,Arrow Greentech Ltd,/stocks/arrow-greentech-ARRO
ARSHIYA,Arshiya Ltd,/stocks/arshiya-ARSH
ARSSINFRA,ARSS Infrastructure Projects Ltd,/stocks/arss-infrastructure-projects-ARSS
ARTNIRMAN,Art Nirman Ltd,/stocks/art-nirman-ARTN
ARTEDZ,Artedz Fabs Ltd
ARTEMISMED,Artemis Medicare Services Ltd,/stocks/artemis-medicare-services-ATEM
ARVEE,Arvee Laboratories (India) Ltd,/stocks/arvee-laboratories-india-ARVE
ARVINDFASN,Arvind Fashions Ltd,/stocks/arvind-fashions-ARVF
ARVIND,Arvind Ltd,/stocks/arvind-ARVN
ARVSMART,Arvind SmartSpaces Ltd,/stocks/arvind-smartspaces-ARVD
ASAHIINDIA,Asahi India Glass Ltd,/stocks/asahi-india-glass-AISG
ASAHISONG,Asahi Songwon Colors Ltd
ASCOM,Ascom Leasing & Investments Ltd,/stocks/ascom-leasing-and-investments-ASCM
ASHAPURMIN,Ashapura Minechem Ltd,/stocks/ashapura-minechem-ASHM
ASHIANA,Ashiana Housing Ltd,/stocks/ashiana-housing-AHFN
ASHIMASYN,Ashima Ltd,/stocks/ashima-ASHL
ASHOKLEY,Ashok Leyland Ltd,/stocks/ashok-leyland-ASOK
ASHOKA,Ashoka Buildcon Ltd,/stocks/ashoka-buildcon-ABDL
ASIANTILES,Asian Granito India Ltd,/stocks/asian-granito-india-ASGI
AHLEAST,Asian Hotels (East) Ltd
ASIANHOTNR,Asian Hotels (North) Ltd,/stocks/asian-hotels-north-ASHT
AHLWEST,Asian Hotels (West) Ltd,/stocks/asian-hotels-west-ASHW
ASIANPAINT,Asian Paints Ltd,/stocks/asian-paints-ASPN
ASLIND,ASL Industries Ltd,/stocks/asl-industries-ASLI
ASPINWALL,Aspinwall and Company Ltd
ASALCBR,Associated Alcohols & Breweries Ltd.
ASTEC,Astec LifeSciences Ltd,/stocks/astec-lifesciences-ASTE
ASTERDM,Aster DM Healthcare Ltd,/stocks/aster-dm-healthcare-ATRD
ASTRAMICRO,Astra Microwave Products Ltd
ASTRAL,Astral Ltd,/stocks/astral-poly-technik-ASPT
ASTRAZEN,AstraZeneca Pharma India Ltd,/stocks/astrazeneca-pharma-india-ASTR
ASTRON,Astron Paper & Board Mill Ltd,/stocks/astron-paper-and-board-mill-ASTO
ATLANTA,Atlanta Ltd,/stocks/atlanta-ATLT
ATLASCYCLE,Atlas Cycles (Haryana) Ltd
ATNINTER,ATN International Ltd
ATULAUTO,Atul Auto Ltd,/stocks/atul-auto-ATUL
ATUL,Atul Ltd,/stocks/atul-ATLP
AUBANK,AU Small Finance Bank Ltd,/stocks/au-small-finance-bank-AUFI
AURDIS,Aurangabad Distillery Ltd,/stocks/aurangabad-distillery-AURA
AURIONPRO,Aurionpro Solutions Ltd,/stocks/aurionpro-solutions-APSL
AUROPHARMA,Aurobindo Pharma Ltd,/stocks/aurobindo-pharma-ARBN
AUSOMENT,Ausom Enterprise Ltd,/stocks/ausom-enterprise-AUSM
AUTOIND,Autoline Industries Ltd,/stocks/autoline-industries-AUIN
AUTOLITIND,Autolite (India) Ltd
AUTOAXLES,Automotive Axles Ltd,/stocks/automotive-axles-ATOA
ASAL,Automotive Stampings and Assemblies Ltd,/stocks/automotive-stampings-and-assemblies-ASAS
AVADHSUGAR,Avadh Sugar & Energy Ltd,/stocks/avadh-sugar-and-energy-AVAD
AVANTIFEED,Avanti Feeds Ltd,/stocks/avanti-feeds-AVNT
AVENTUS,Aventus Buildcon Ltd
DMART,Avenue Supermarts Ltd,/stocks/avenue-supermarts-AVEU
AVG,AVG Logistics Ltd,/stocks/avg-logistics-AVGL
AVROIND,Avro India Ltd,/stocks/avro-india-AVRI
AVSL,AVSL Industries Ltd,/stocks/avsl-industries-AVSL
AVTNPL,AVT Natural Products Ltd,/stocks/avt-natural-products-AVTN
AXISBANK,Axis Bank Ltd,/stocks/axis-bank-AXBK
AXISCADES,AXISCADES Engineering Technologies Ltd
AYMSYNTEX,AYM Syntex Ltd,/stocks/aym-syntex-AYMS
BBTCL,B&B Triplewall Containers Ltd,/stocks/bandb-triplewall-containers-BBTR
BLKASHYAP,B. L. Kashyap and Sons Ltd
BAGFILMS,B.A.G Films and Media Ltd
BABAFOOD,Baba Agro Food Ltd
BAFNAPH,Bafna Pharmaceuticals Ltd,/stocks/bafna-pharmaceuticals-BAFP
BAJAJ-AUTO,Bajaj Auto Ltd,/stocks/bajaj-auto-BAJA
BAJAJCON,Bajaj Consumer Care Ltd,/stocks/bajaj-consumer-care-BACO
BAJAJELEC,Bajaj Electricals Ltd,/stocks/bajaj-electricals-BJEL
BAJFINANCE,Bajaj Finance Ltd,/stocks/bajaj-finance-BJFN
BAJAJFINSV,Bajaj Finserv Ltd,/stocks/bajaj-finserv-BJFS
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,/stocks/bajaj-hindusthan-sugar-BJHN
BAJAJHLDNG,Bajaj Holdings & Investment Ltd
BALPHARMA,Bal Pharma Ltd,/stocks/bal-pharma-BALP
BALAMINES,Balaji Amines Ltd,/stocks/balaji-amines-BAMN
BALAJITELE,Balaji Telefilms Ltd,/stocks/balaji-telefilms-BLTE
BALAXI,Balaxi Ventures Ltd
BALKRISIND,Balkrishna Industries Ltd,/stocks/balkrishna-industries-BLKI
BALKRISHNA,Balkrishna Paper Mills Ltd,/stocks/balkrishna-paper-mills-BALK
BALLARPUR,Ballarpur Industries Ltd,/stocks/ballarpur-industries-BILT
BALMLAWRIE,Balmer Lawrie & Company Ltd
BALRAMCHIN,Balrampur Chini Mills Ltd,/stocks/balrampur-chini-mills-BACH
BANARBEADS,Banaras Beads Ltd,/stocks/banaras-beads-BANB
BANCOINDIA,Banco Products (I) Ltd
BANDHANBNK,Bandhan Bank Ltd,/stocks/bandhan-bank-BANH
BANG,Bang Overseas Ltd,/stocks/bang-overseas-BANO
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BANKA,Banka BioLoo Ltd,/stocks/banka-bioloo-BAKN
BASML,Bannari Amman Spinning Mills Ltd,/stocks/bannari-amman-spinning-mills-BASP
BANARISUG,Bannari Amman Sugars Ltd,/stocks/bannari-amman-sugars-BANN
BANSWRAS,Banswara Syntex Ltd,/stocks/banswara-syntex-BANS
BVCL,Barak Valley Cements Ltd,/stocks/barak-valley-cements-BAVA
BARTRONICS,Bartronics India Ltd,/stocks/bartronics-india-BARI
BASF,BASF India Ltd,/stocks/basf-india-BASF
BATAINDIA,Bata India Ltd,/stocks/bata-india-BATA
BDR,BDR Buildcon Ltd,/stocks/bdr-buildcon-BDRB
BEARDSELL,Beardsell Ltd,/stocks/beardsell-BRED
BEDMUTHA,Bedmutha Industries Ltd,/stocks/bedmutha-industries-BMIL
BEML,BEML Ltd,/stocks/beml-BEML
BERGEPAINT,Berger Paints (I) Ltd
BETA,Beta Drugs Ltd,/stocks/beta-drugs-BTAD
BFINVEST,BF Investment Ltd,/stocks/bf-investment-BFIN
BFUTILITIE,BF Utilities Ltd,/stocks/bf-utilities-limitd-BFUT
BGRENERGY,BGR Energy Systems Ltd,/stocks/bgr-energy-systems-BGRE
BHAGERIA,Bhageria Industries Ltd,/stocks/bhageria-industries-BHAE
BHAGYANGR,Bhagyanagar India Ltd,/stocks/bhagyanagar-india-BHIL
BHAGYAPROP,Bhagyanagar Properties Ltd,/stocks/bhagyanagar-properties-BHAY
BHALCHANDR,Bhalchandram Clothing Ltd
BHANDARI,Bhandari Hosiery Exports Ltd,/stocks/bhandari-hosiery-exports-BHEX
BEPL,Bhansali Engineering Polymers Ltd
BBL,Bharat Bijlee Ltd,/stocks/bharat-bijlee-BBJL
BDL,Bharat Dynamics Ltd,/stocks/bharat-dynamics-BARA
BEL,Bharat Electronics Ltd,/stocks/bharat-electronics-BAJE
BHARATFORG,Bharat Forge Ltd,/stocks/bharat-forge-BFRG
BHARATGEAR,Bharat Gears Ltd,/stocks/bharat-gears-BGRS
BHEL,Bharat Heavy Electricals Ltd,/stocks/bharat-heavy-electricals-BHEL
BPCL,Bharat Petroleum Corporation Ltd,/stocks/bharat-petroleum-corporation-BPCL
BHARATRAS,Bharat Rasayan Ltd,/stocks/bharat-rasayan-BRSN
BRNL,Bharat Road Network Ltd,/stocks/bharat-road-network-BHRN
BHARATWIRE,Bharat Wire Ropes Ltd,/stocks/bharat-wire-ropes-BHWR
BHARTIARTL,Bharti Airtel Ltd,/stocks/bharti-airtel-BRTI
INFRATEL,Bharti Infratel Ltd
BIL,Bhartiya International Ltd,/stocks/bhartiya-international-BHAI
BIGBLOC,Bigbloc Construction Ltd,/stocks/bigbloc-construction-BIGB
BILENERGY,Bil Energy Systems Ltd,/stocks/bil-energy-systems-BILE
BIOCON,Biocon Ltd,/stocks/biocon-BION
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Ltd
BIRLACABLE,Birla Cable Ltd,/stocks/birla-cable-BRLE
BIRLACORPN,Birla Corporation Ltd,/stocks/birla-corporation-BRLC
BIRLATYRE,Birla Tyres Ltd,/stocks/birla-tyres-BIRT
BSOFT,Birlasoft Ltd,/stocks/birlasoft-BIRS
BKMINDST,Bkm Industries Ltd,/stocks/bkm-industries-BKMI
BLBLtd,BLB Ltd,/stocks/blb-BLB
BLISSGVS,Bliss GVS Pharma Ltd,/stocks/bliss-gvs-pharma-BLIS
BLS,BLS International Services Ltd,/stocks/bls-international-services-BLSN
BLUECHIP,Blue Chip India Ltd,/stocks/blue-chip-india-BLCI
BLUECOAST,Blue Coast Hotels Ltd,/stocks/blue-coast-hotels-BCHO
BLUEDART,Blue Dart Express Ltd,/stocks/blue-dart-express-BLDT
BLUESTARCO,Blue Star Ltd,/stocks/blue-star-BLUS
BODALCHEM,Bodal Chemicals Ltd,/stocks/bodal-chemicals-BODA
BOHRA,Bohra Industries Ltd,/stocks/bohra-industries-BOHA
BBTC,Bombay Burmah Trading Corporation Ltd,/stocks/bombay-burmah-trading-corporation-BBRM
BOMDYEING,Bombay Dyeing & Mfg Company Ltd
BRFL,Bombay Rayon Fashions Ltd,/stocks/bombay-rayon-fashions-BRFL
BSHSL,Bombay Super Hybrid Seeds Ltd,/stocks/bombay-super-hybrid-seeds-BOBA
BORORENEW,Borosil Renewables Ltd,/stocks/borosil-renewables-BORO
BOSCHLTD,Bosch Ltd,/stocks/bosch-BOSH
BPL,BPL Ltd,/stocks/bpl-BPL
BCONCEPTS,Brand Concepts Ltd,/stocks/brand-concepts-BRAN
BRIGADE,Brigade Enterprises Ltd,/stocks/brigade-enterprises-BRIG
BRIGHT,Bright Solar Ltd,/stocks/bright-solar-BRGH
BCG,Brightcom Group Ltd,/stocks/brightcom-group-BRIH
BRITANNIA,Britannia Industries Ltd,/stocks/britannia-industries-BRIT
BROOKS,Brooks Laboratories Ltd,/stocks/brooks-laboratories-BROO
BSE,BSE Ltd,/stocks/bse-BSEL
BSELINFRA,BSEL Infrastructure Realty Ltd,/stocks/bsel-infrastructure-realty-BISL
BSL,BSL Ltd,/stocks/bsl-BSLL
BURNPUR,Burnpur Cement Ltd,/stocks/burnpur-cement-BRCL
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd,/stocks/butterfly-gandhimathi-appliances-BUTT
CANDC,C & C Constructions Ltd,/stocks/c-and-c-constructions-CCCL
CADILAHC,Cadila Healthcare Ltd
CADSYS,Cadsys (India) Ltd,/stocks/cadsys--india--CADS
CALSOFT,California Software Company Ltd,/stocks/california-software-company-CALI
CTE,Cambridge Technology Enterprises Ltd,/stocks/cambridge-technology-enterprises-CATE
CAMLINFINE,Camlin Fine Sciences Ltd,/stocks/camlin-fine-sciences-CAMF
CANFINHOME,Can Fin Homes Ltd,/stocks/can-fin-homes-CNFH
CANBK,Canara Bank
CANTABIL,Cantabil Retail India Ltd,/stocks/cantabil-retail-india-CRIL
CAPACITE,Capacit'e Infraprojects Ltd
CAPTRUST,Capital Trust Ltd,/stocks/capital-trust-CAPT
CAPLIPOINT,Caplin Point Laboratories Ltd,/stocks/caplin-point-laboratories-CAPL
CGCL,Capri Global Capital Ltd,/stocks/capri-global-capital-CAPG
CARBORUNIV,Carborundum Universal Ltd,/stocks/carborundum-universal-CRBR
CARERATING,CARE Ratings Ltd,/stocks/care-ratings-CREI
CAREERP,Career Point Ltd,/stocks/career-point-CARP
CASTEXTECH,Castex Technologies Ltd,/stocks/castex-technologies-CASE
CASTROLIND,Castrol India Ltd,/stocks/castrol-india-CAST
CCL,CCL Products (India) Ltd
CEATLTD,CEAT Ltd,/stocks/ceat-CEAT
CELEBRITY,Celebrity Fashions Ltd,/stocks/celebrity-fashions-CELF
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Ltd,/stocks/central-depository-services-india-CENA
CENTRUM,Centrum Capital Ltd,/stocks/centrum-capital-CENC
CENTUM,Centum Electronics Ltd,/stocks/centum-electronics-CENT
CENTENKA,Century Enka Ltd,/stocks/century-enka-CNTE
CENTEXT,Century Extrusions Ltd,/stocks/century-extrusions-CNTX
CENTURYPLY,Century Plyboards (India) Ltd,/stocks/century-plyboards-india-CNTP
CENTURYTEX,Century Textiles & Industries Ltd
CERA,Cera Sanitaryware Ltd,/stocks/cera-sanitaryware-CERA
CEREBRAINT,Cerebra Integrated Technologies Ltd,/stocks/cerebra-integrated-technologies-CEIT
CESC,CESC Ltd,/stocks/cesc-CESC
CESCVENT,CESC Ventures Ltd
CGPOWER,CG Power and Industrial Solutions Ltd,/stocks/cg-power-and-industrial-solutions-CGPO
CHALET,Chalet Hotels Ltd,/stocks/chalet-hotels-CHAL
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd
CHEMBOND,Chembond Chemicals Ltd,/stocks/chembond-chemicals-CHEM
CHEMCON,Chemcon Speciality Chemicals Ltd,/stocks/chemcon-speciality-chemicals-CHEMC
CHEMFAB,Chemfab Alkalis Ltd,/stocks/chemfab-alkalis-CHMF
CHENNPETRO,Chennai Petroleum Corporation Ltd,/stocks/chennai-petroleum-corporation-CHPC
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,/stocks/cholamandalam-financial-holdings-CHOL
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,/stocks/cholamandalam-investment-and-finance-company-CHLA
CHROMATIC,Chromatic India Ltd
CIGNITITEC,Cigniti Technologies Ltd,/stocks/cigniti-technologies-CIGN
CNOVAPETRO,CIL Nova Petrochemicals Ltd,/stocks/cil-nova-petrochemicals-CNPL
CIMMCO,Cimmco Ltd,/stocks/cimmco-CIMM
CINELINE,Cineline India Ltd,/stocks/cineline-india-CIIN
CINEVISTA,Cinevista Ltd,/stocks/cinevista-CINE
CIPLA,Cipla Ltd,/stocks/cipla-CIPL
CUB,City Union Bank Ltd,/stocks/city-union-bank-CTBK
CKPLEISURE,CKP Leisure Ltd,/stocks/ckp-leisure-CKPL
CKPPRODUCT,CKP Products Ltd
CLEDUCATE,CL Educate Ltd,/stocks/cl-educate-CARU
CLNINDIA,Clariant Chemicals (India) Ltd
CMICABLES,CMI Ltd,/stocks/cmi-CMI
CMMIPL,CMM Infraprojects Ltd,/stocks/cmm-infraprojects-CMMN
COALINDIA,Coal India Ltd,/stocks/coal-india-COAL
COCHINSHIP,Cochin Shipyard Ltd,/stocks/cochin-shipyard-COCH
COFORGE,Coforge Ltd,/stocks/coforge-COFO
COLPAL,Colgate Palmolive (India) Ltd
CEBBCO,Commercial Engineers & Body Builders Co Ltd
COMPINFO,Compuage Infocom Ltd,/stocks/compuage-infocom-COMI
COMPUSOFT,Compucom Software Ltd,/stocks/compucom-software-CMPU
CAMS,Computer Age Management Services Ltd,/stocks/computer-age-management-services-CAMC
CONFIPET,Confidence Petroleum India Ltd,/stocks/confidence-petroleum-india-CONF
CCCL,Consolidated Construction Consortium Ltd,/stocks/consolidated-construction-consortium-CCON
CONSOFINVT,Consolidated Finvest & Holdings Ltd,/stocks/consolidated-finvest-and-holdings-CONS
CONCOR,Container Corporation of India Ltd,/stocks/container-corporation-of-india-CCRI
CONTI,Continental Seeds and Chemicals Ltd,/stocks/continental-seeds-and-chemicals-COTN
CONTROLPR,Control Print Ltd,/stocks/control-print-CONP
CORALFINAC,Coral India Finance & Housing Ltd
CORDSCABLE,Cords Cable Industries Ltd,/stocks/cords-cable-industries-CCIL
COROMANDEL,Coromandel International Ltd,/stocks/coromandel-international-CORF
COSMOFILMS,Cosmo Films Ltd,/stocks/cosmo-films-CSFL
CCHHL,Country Club Hospitality & Holidays Ltd,/stocks/country-club-hospitality-and-holidays-COUN
COUNCODOS,Country Condo's Ltd,/stocks/country-condos-COCO
CKFSL,Cox & Kings Financial Service Ltd
COX&KINGS,Cox & Kings Ltd
CREATIVEYE,Creative Eye Ltd,/stocks/creative-eye-CEYE
CREATIVE,Creative Peripherals and Distribution Ltd
CREDITACC,CreditAccess Grameen Ltd,/stocks/creditaccess-grameen-CRDE
CREST,Crest Ventures Ltd,/stocks/crest-ventures-CRSV
CRISIL,CRISIL Ltd,/stocks/crisil-CRSL
CROMPTON,Crompton Greaves Consumer Electricals Ltd,/stocks/crompton-greaves-consumer-electricals-CROP
CROWN,Crown Lifters Ltd,/stocks/crown-lifters-CROW
CSBBANK,CSB Bank Ltd,/stocks/csb-bank-CSBB
CUBEXTUB,Cubex Tubings Ltd,/stocks/cubex-tubings-CUBE
CUMMINSIND,Cummins India Ltd,/stocks/cummins-india-CUMM
CUPID,Cupid Ltd,/stocks/cupid-CUCO
CYBERTECH,Cybertech Systems And Software Ltd,/stocks/cybertech-systems-and-software-CTSS
CYIENT,Cyient Ltd,/stocks/cyient-CYIE
DBREALTY,D B Realty Ltd,/stocks/d-b-realty-DBRL
DPWIRES,D P Wires Ltd,/stocks/d-p-wires-DPWI
DPABHUSHAN,D. P. Abhushan Ltd
DBCORP,D.B.Corp Ltd
DABUR,Dabur India Ltd,/stocks/dabur-india-DABU
DALBHARAT,Dalmia Bharat Ltd,/stocks/dalmia-bharat-DALB
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,/stocks/dalmia-bharat-sugar-and-industries-DLMI
DAMODARIND,Damodar Industries Ltd,/stocks/damodar-industries-DAMD
DANGEE,Dangee Dums Ltd,/stocks/dangee-dums-DANG
DATAMATICS,Datamatics Global Services Ltd,/stocks/datamatics-global-services-DATC
DBSTOCKBRO,DB (International) Stock Brokers Ltd,/stocks/db-international-stock-brokers-DBSB
DCI,DC Infotech and Communication Ltd,/stocks/dc-infotech-and-communication-DCIN
DCBBANK,DCB Bank Ltd,/stocks/dcb-bank-DCBA
DCM,DCM Ltd,/stocks/dcm-DCML
DCMFINSERV,DCM Financial Services Ltd,/stocks/dcm-financial-services-DCFS
DCMNVL,DCM Nouvelle Ltd,/stocks/dcm-nouvelle-DCMN
DCMSHRIRAM,DCM Shriram Ltd,/stocks/dcm-shriram-DCMS
DCW,DCW Ltd,/stocks/dcw-DCWL
